subjectID	runtrial	onsettime	Name	Bid	RT	StimType	StimTypeInd
bmem_short_142	1	1.04E-01	Goodies_white.jpg	4.50E+00	6.81E+00	Snacks	1
bmem_short_142	2	7.30E+00	Dubonim.bmp	4.98E+00	6.14E+00	Snacks	1
bmem_short_142	3	1.38E+01	Halva.bmp	5.19E-02	3.07E+00	Snacks	1
bmem_short_142	4	1.73E+01	Snickers.bmp	3.53E+00	5.94E+00	Snacks	1
bmem_short_142	5	2.36E+01	DoritosSourSpicy.bmp	3.04E+00	4.86E+00	Snacks	1
bmem_short_142	6	2.89E+01	HispusimShatiah.bmp	5.55E+00	6.26E+00	Snacks	1
bmem_short_142	7	3.55E+01	BabyDoll.bmp	8.72E-02	5.99E+00	Snacks	1
bmem_short_142	8	4.19E+01	Cranchos.jpg	5.02E+00	8.88E+00	Snacks	1
bmem_short_142	9	5.12E+01	Hativ_kashiu.jpg	5.59E+00	1.07E+01	Snacks	1
bmem_short_142	10	6.23E+01	Mishmish.jpg	7.30E-02	4.32E+00	Snacks	1
bmem_short_142	11	6.70E+01	Click_toffee.jpg	4.57E+00	4.30E+00	Snacks	1
bmem_short_142	12	7.17E+01	MnM.bmp	7.03E+00	3.90E+00	Snacks	1
bmem_short_142	13	7.60E+01	Kifkef.bmp	5.61E+00	3.12E+00	Snacks	1
bmem_short_142	14	7.95E+01	ChocolateParaNuts.bmp	5.06E+00	1.05E+01	Snacks	1
bmem_short_142	15	9.04E+01	HappyHippo.bmp	6.57E+00	3.60E+00	Snacks	1
bmem_short_142	16	9.44E+01	Hispusim.bmp	5.50E+00	5.84E+00	Snacks	1
bmem_short_142	17	1.01E+02	Bamba.bmp	8.73E-02	3.34E+00	Snacks	1
bmem_short_142	18	1.04E+02	Energy_prihiot_chocolate.jpg	5.00E+00	3.39E+00	Snacks	1
bmem_short_142	19	1.08E+02	ClickBlackWhite.bmp	6.02E+00	6.07E+00	Snacks	1
bmem_short_142	20	1.15E+02	bagaleShminiot.bmp	2.00E+00	2.67E+00	Snacks	1
bmem_short_142	21	1.18E+02	ChocolateParaMarir.bmp	4.04E+00	6.47E+00	Snacks	1
bmem_short_142	22	1.25E+02	KinderBuenoBrown.bmp	8.01E+00	5.42E+00	Snacks	1
bmem_short_142	23	1.30E+02	CrunchBisquitBrown.bmp	7.44E+00	4.52E+00	Snacks	1
bmem_short_142	24	1.35E+02	Mentos_kiss.jpg	4.00E+00	4.92E+00	Snacks	1
bmem_short_142	25	1.41E+02	Happy_swing.jpg	1.99E+00	4.12E+00	Snacks	1
bmem_short_142	26	1.45E+02	Tapuchips.bmp	3.02E+00	3.07E+00	Snacks	1
bmem_short_142	27	1.49E+02	BisliPizza.bmp	5.02E+00	5.22E+00	Snacks	1
bmem_short_142	28	1.54E+02	Etzbaot_milk.jpg	6.50E+00	6.34E+00	Snacks	1
bmem_short_142	29	1.61E+02	Bounty.bmp	9.67E-02	2.20E+00	Snacks	1
bmem_short_142	30	1.64E+02	PesekZman.bmp	3.01E+00	6.39E+00	Snacks	1
bmem_short_142	31	1.70E+02	KinderJoy.bmp	4.49E+00	3.89E+00	Snacks	1
