subjectID	runtrial	onsettime	Name	Ranking	RT	StimType	StimTypeInd
bmem_short_121	1	8.466617e-02	308_hotovely_tzipi.jpg	3.025696e+00	3.937722e+00	FamiliarFaces	6
bmem_short_121	2	6.589924e+00	216_sharom_ariel.jpg	2.039917e+00	3.238501e+00	FamiliarFaces	6
bmem_short_121	3	1.309718e+01	2053.jpg	2.002014e+00	3.579257e+00	Faces	2
bmem_short_121	4	1.960437e+01	1052.jpg	1.026428e+00	3.527936e+00	Faces	2
bmem_short_121	5	2.611175e+01	125.jpg	2.983582e+00	3.692547e+00	Fractals	3
bmem_short_121	6	3.261911e+01	123.jpg	5.004761e+00	3.785312e+00	Fractals	3
bmem_short_121	7	3.912639e+01	304_dicter_abraham.jpg	9.427490e-01	3.790014e+00	FamiliarFaces	6
bmem_short_121	8	4.563356e+01	104_galon_zahava.jpg	1.039368e+00	3.378862e+00	FamiliarFaces	6
bmem_short_121	9	5.214094e+01	312_livnat_limor.jpg	5.985107e-01	3.295464e+00	FamiliarFaces	6
bmem_short_121	10	5.864823e+01	211_molla_shlomo.jpg	6.073608e-01	3.444215e+00	FamiliarFaces	6
bmem_short_121	11	6.515562e+01	122.jpg	4.161438e+00	3.632718e+00	Fractals	3
bmem_short_121	12	7.166274e+01	1073.jpg	1.692932e+00	3.781606e+00	Faces	2
bmem_short_121	13	7.817022e+01	1150.jpg	1.085999e+00	3.170252e+00	Faces	2
bmem_short_121	14	8.467749e+01	2089.jpg	8.945312e-01	3.294937e+00	Faces	2
bmem_short_121	15	9.118472e+01	311_liberman_avigdor.jpg	5.846619e+00	3.091596e+00	FamiliarFaces	6
bmem_short_121	16	9.769199e+01	112.jpg	6.037354e+00	3.304354e+00	Fractals	3
bmem_short_121	17	1.041994e+02	215_rozbozov_yoel.jpg	5.108582e+00	3.941017e+00	FamiliarFaces	6
bmem_short_121	18	1.107066e+02	118_yacimovich_shelly.jpg	1.186523e+00	2.905846e+00	FamiliarFaces	6
bmem_short_121	19	1.172141e+02	2128.jpg	9.182739e-01	3.190348e+00	Faces	2
bmem_short_121	20	1.237213e+02	129.jpg	4.194153e+00	3.067055e+00	Fractals	3
bmem_short_121	21	1.302286e+02	2164.jpg	8.280640e-01	2.975707e+00	Faces	2
bmem_short_121	22	1.367359e+02	2094.jpg	1.363708e+00	3.164494e+00	Faces	2
bmem_short_121	23	1.432431e+02	128.jpg	5.449402e+00	3.409248e+00	Fractals	3
bmem_short_121	24	1.497504e+02	108_khenin_dov.jpg	1.258362e+00	2.774077e+00	FamiliarFaces	6
bmem_short_121	25	1.562579e+02	101.jpg	6.214600e+00	3.338529e+00	Fractals	3
bmem_short_121	26	1.627650e+02	2045.jpg	1.040527e+00	3.031441e+00	Faces	2
bmem_short_121	27	1.692723e+02	138.jpg	4.272156e+00	3.388137e+00	Fractals	3
bmem_short_121	28	1.757796e+02	133.jpg	1.250549e+00	2.824682e+00	Fractals	3
