subjectID	runtrial	onsettime	Name	Ranking	RT	StimType	StimTypeInd
bmem_short_990	1	7.170773e-02	119_zandberg_tamar.jpg	3.401794e+00	4.181902e+00	FamiliarFaces	6
bmem_short_990	2	6.589882e+00	2155.jpg	999	999	Faces	2
bmem_short_990	3	1.459911e+01	2094.jpg	999	999	Faces	2
bmem_short_990	4	2.260814e+01	153.jpg	999	999	Fractals	3
bmem_short_990	5	3.061704e+01	319_steinitz_yuval.jpg	999	999	FamiliarFaces	6
bmem_short_990	6	3.862612e+01	152.jpg	999	999	Fractals	3
bmem_short_990	7	4.663512e+01	108.jpg	999	999	Fractals	3
bmem_short_990	8	5.464401e+01	103_cabel_eitan.jpg	6.102478e+00	5.552641e+00	FamiliarFaces	6
bmem_short_990	9	6.115105e+01	109_michaeli_meirav.jpg	7.949158e+00	3.157729e+00	FamiliarFaces	6
bmem_short_990	10	6.765840e+01	131.jpg	4.494080e+00	3.754358e+00	Fractals	3
bmem_short_990	11	7.416561e+01	113_rosenthal_mickey.jpg	2.139893e+00	3.383129e+00	FamiliarFaces	6
bmem_short_990	12	8.067293e+01	112.jpg	999	999	Fractals	3
bmem_short_990	13	8.868198e+01	108_khenin_dov.jpg	3.395630e+00	2.970741e+00	FamiliarFaces	6
bmem_short_990	14	9.518932e+01	1262.jpg	3.744690e+00	3.103514e+00	Faces	2
bmem_short_990	15	1.016966e+02	2164.jpg	999	999	Faces	2
bmem_short_990	16	1.097055e+02	1050.jpg	999	999	Faces	2
bmem_short_990	17	1.177145e+02	2041.jpg	5.733215e+00	3.602321e+00	Faces	2
bmem_short_990	18	1.242219e+02	107_horowitz_nitzan.jpg	999	999	FamiliarFaces	6
bmem_short_990	19	1.322311e+02	217_shelach_ofer.jpg	7.613159e+00	3.453623e+00	FamiliarFaces	6
bmem_short_990	20	1.387381e+02	316_saar_gidon.jpg	7.480774e+00	3.258610e+00	FamiliarFaces	6
bmem_short_990	21	1.452453e+02	207_lapid_yair.jpg	8.966187e+00	3.647358e+00	FamiliarFaces	6
bmem_short_990	22	1.517527e+02	320_yaalon_moshe.jpg	999	999	FamiliarFaces	6
bmem_short_990	23	1.597617e+02	302_danon_danny.jpg	1.969421e+00	4.971034e+00	FamiliarFaces	6
bmem_short_990	24	1.662691e+02	112_peretz_amir.jpg	6.807922e+00	3.903782e+00	FamiliarFaces	6
bmem_short_990	25	1.727763e+02	205_german_yael.jpg	8.372803e+00	3.252484e+00	FamiliarFaces	6
bmem_short_990	26	1.792838e+02	114.jpg	1.579590e+00	5.744967e+00	Fractals	3
bmem_short_990	27	1.857909e+02	150.jpg	4.105164e+00	2.949794e+00	Fractals	3
bmem_short_990	28	1.922983e+02	1202.jpg	5.855469e+00	3.290568e+00	Faces	2
bmem_short_990	29	1.988056e+02	307_hazan_oren.jpg	9.536133e-01	3.271130e+00	FamiliarFaces	6
bmem_short_990	30	2.053128e+02	110.jpg	7.060425e+00	3.195877e+00	Fractals	3
bmem_short_990	31	2.118200e+02	117_tibi_ahmed.jpg	2.035156e+00	3.328670e+00	FamiliarFaces	6
bmem_short_990	32	2.183273e+02	159.jpg	4.989136e+00	3.357423e+00	Fractals	3
bmem_short_990	33	2.248346e+02	312_livnat_limor.jpg	2.804443e+00	4.706033e+00	FamiliarFaces	6
bmem_short_990	34	2.313419e+02	210_mofaz_shaul.jpg	5.032532e+00	3.326727e+00	FamiliarFaces	6
bmem_short_990	35	2.378492e+02	220_tamnu_shata_penina.jpg	7.295410e+00	3.187428e+00	FamiliarFaces	6
